cm_comp_name:, cm_comp_rid:20689, cm_out:0.3, cm_netto:0.3, cm_brutto:0.3, cm_rid:47494, cm_date:1
cm_comp_name:, cm_comp_rid:19739, cm_out:0.05, cm_netto:0.05, cm_brutto:0.05, cm_rid:47494, cm_date:1
cm_comp_name:, cm_comp_rid:19790, cm_out:0.22, cm_netto:0.22, cm_brutto:0.22, cm_rid:47494, cm_date:1
cm_comp_name:, cm_comp_rid:19978, cm_out:0.22, cm_netto:0.22, cm_brutto:0.22, cm_rid:47494, cm_date:1
cm_comp_name:, cm_comp_rid:1368, cm_out:0, cm_netto:0.01, cm_brutto:0.01, cm_rid:47494, cm_date:1
cm_comp_name:, cm_comp_rid:1388, cm_out:0, cm_netto:0.004, cm_brutto:0.004, cm_rid:47494, cm_date:1
cm_comp_name:, cm_comp_rid:32779, cm_out:0, cm_netto:0, cm_brutto:1.8, cm_rid:47492, cm_date:0
cm_comp_name:, cm_comp_rid:28025, cm_out:1.8, cm_netto:1.8, cm_brutto:1.8, cm_rid:47492, cm_date:1
cm_comp_name:, cm_comp_rid:19851, cm_out:0.2, cm_netto:0.2, cm_brutto:0.2, cm_rid:47492, cm_date:1
cm_comp_name:, cm_comp_rid:1379, cm_out:0.1, cm_netto:0.1, cm_brutto:0.1, cm_rid:47492, cm_date:1
cm_comp_name:, cm_comp_rid:1535, cm_out:0.005, cm_netto:0.005, cm_brutto:0.005, cm_rid:47492, cm_date:1
cm_comp_name:, cm_comp_rid:1368, cm_out:0.018, cm_netto:0.018, cm_brutto:0.018, cm_rid:47492, cm_date:1
cm_comp_name:, cm_comp_rid:1388, cm_out:0.006, cm_netto:0.006, cm_brutto:0.006, cm_rid:47492, cm_date:1
cm_comp_name:, cm_comp_rid:32362, cm_out:0, cm_netto:0, cm_brutto:2.39, cm_rid:48896, cm_date:0
cm_comp_name:, cm_comp_rid:62423, cm_out:2.39, cm_netto:4.07, cm_brutto:4.07, cm_rid:48896, cm_date:1
cm_comp_name:, cm_comp_rid:32146, cm_out:0, cm_netto:0, cm_brutto:1, cm_rid:46166, cm_date:0
cm_comp_name:, cm_comp_rid:5291, cm_out:0.1, cm_netto:0.1, cm_brutto:0.13, cm_rid:46166, cm_date:1
cm_comp_name:, cm_comp_rid:31800, cm_out:0, cm_netto:0, cm_brutto:0.58, cm_rid:45516, cm_date:0
cm_comp_name:, cm_comp_rid:19842, cm_out:0.1625, cm_netto:0.25, cm_brutto:0.25, cm_rid:45516, cm_date:1
cm_comp_name:, cm_comp_rid:1368, cm_out:0.005, cm_netto:0.005, cm_brutto:0.005, cm_rid:45516, cm_date:1
cm_comp_name:, cm_comp_rid:1379, cm_out:0, cm_netto:0.05, cm_brutto:0.05, cm_rid:45516, cm_date:1
cm_comp_name:, cm_comp_rid:1388, cm_out:0.005, cm_netto:0.005, cm_brutto:0.005, cm_rid:45516, cm_date:1
cm_comp_name:, cm_comp_rid:19833, cm_out:0.005, cm_netto:0.005, cm_brutto:0.005, cm_rid:45516, cm_date:1
cm_comp_name:, cm_comp_rid:19796, cm_out:0.3, cm_netto:0.3, cm_brutto:0.6, cm_rid:45516, cm_date:1
cm_comp_name:, cm_comp_rid:1534, cm_out:0, cm_netto:0.03, cm_brutto:0.03, cm_rid:45516, cm_date:1
cm_comp_name:, cm_comp_rid:19267, cm_out:0.005, cm_netto:0.005, cm_brutto:0.005, cm_rid:45516, cm_date:1
cm_comp_name:, cm_comp_rid:64125, cm_out:0.14, cm_netto:0.2, cm_brutto:0.2, cm_rid:45516, cm_date:1
cm_comp_name:, cm_comp_rid:31786, cm_out:0, cm_netto:0, cm_brutto:0.37, cm_rid:45466, cm_date:0
cm_comp_name:, cm_comp_rid:20824, cm_out:0.252, cm_netto:0.35, cm_brutto:0.35, cm_rid:45466, cm_date:1
cm_comp_name:, cm_comp_rid:19790, cm_out:0.0245, cm_netto:0.035, cm_brutto:0.035, cm_rid:45466, cm_date:1
cm_comp_name:, cm_comp_rid:19792, cm_out:0.0245, cm_netto:0.035, cm_brutto:0.035, cm_rid:45466, cm_date:1
cm_comp_name:, cm_comp_rid:20829, cm_out:0.0245, cm_netto:0.035, cm_brutto:0.035, cm_rid:45466, cm_date:1
cm_comp_name:, cm_comp_rid:19851, cm_out:0.0175, cm_netto:0.035, cm_brutto:0.035, cm_rid:45466, cm_date:1
cm_comp_name:, cm_comp_rid:1368, cm_out:0.002, cm_netto:0.002, cm_brutto:0.002, cm_rid:45466, cm_date:1
cm_comp_name:, cm_comp_rid:1379, cm_out:0.05, cm_netto:0.05, cm_brutto:0.05, cm_rid:45466, cm_date:1
cm_comp_name:, cm_comp_rid:1388, cm_out:0.001, cm_netto:0.001, cm_brutto:0.001, cm_rid:45466, cm_date:1
cm_comp_name:, cm_comp_rid:31784, cm_out:0, cm_netto:0, cm_brutto:0.26, cm_rid:45464, cm_date:0
cm_comp_name:, cm_comp_rid:2124, cm_out:0.1584, cm_netto:0.22, cm_brutto:0.22, cm_rid:45464, cm_date:1
cm_comp_name:, cm_comp_rid:19792, cm_out:0.028, cm_netto:0.04, cm_brutto:0.04, cm_rid:45464, cm_date:1
cm_comp_name:, cm_comp_rid:19851, cm_out:0.02, cm_netto:0.04, cm_brutto:0.04, cm_rid:45464, cm_date:1
cm_comp_name:, cm_comp_rid:19790, cm_out:0.021, cm_netto:0.03, cm_brutto:0.03, cm_rid:45464, cm_date:1
cm_comp_name:, cm_comp_rid:19833, cm_out:0.0025, cm_netto:0.005, cm_brutto:0.005, cm_rid:45464, cm_date:1
cm_comp_name:, cm_comp_rid:1368, cm_out:0, cm_netto:0.003, cm_brutto:0.003, cm_rid:45464, cm_date:1
cm_comp_name:, cm_comp_rid:1379, cm_out:0, cm_netto:0.05, cm_brutto:0.05, cm_rid:45464, cm_date:1
cm_comp_name:, cm_comp_rid:20829, cm_out:0.021, cm_netto:0.03, cm_brutto:0.03, cm_rid:45464, cm_date:1
